gold\pred,心血瘀阻,正虚毒瘀,正虚瘀结,气滞血瘀,气虚血瘀,气血亏虚,气阴两虚,湿热下注,湿热瘀阻,湿热蕴结,湿热阻络,热毒蕴结,痰浊瘀阻,痰浊蒙窍,痰湿中阻,痰湿蒙窍,痰湿蕴肺,痰瘀互结,痰瘀痹阻,瘀血阻络,肝经湿热,肝肾不足,肝肾亏虚,肝肾阴虚,肝胃不和,肝胃郁热,肝阳上亢,肾虚,脾肾两虚,脾胃不和,脾胃虚寒,血热,血瘀痰凝,阳虚水泛,阴虚火旺,阴虚血瘀,阴虚阳亢,风寒外袭,风寒袭肺,风痰上扰,风痰入络,风痰阻络
心血瘀阻,41,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
正虚毒瘀,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
正虚瘀结,0,49,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
气滞血瘀,0,1,1,336,6,2,0,10,4,2,0,13,3,1,1,0,0,0,2,25,2,0,92,1,2,2,0,8,0,0,1,0,9,1,3,1,0,0,0,0,0,2
气虚血瘀,40,0,1,9,412,12,40,0,0,0,0,0,45,17,4,4,0,22,37,19,0,1,5,10,0,2,54,0,0,0,0,0,0,25,8,28,3,1,0,7,21,33
气血亏虚,0,0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0
气阴两虚,0,1,0,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,6,11,0,0,0,0,0,0
湿热下注,0,0,0,1,0,9,0,520,1,2,1,10,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
湿热瘀阻,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
湿热蕴结,0,0,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0
湿热阻络,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热毒蕴结,0,0,0,0,0,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
痰浊瘀阻,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰浊蒙窍,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰湿中阻,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
