gold\pred,心血瘀阻,正虚毒瘀,正虚瘀结,气滞血瘀,气虚血瘀,气血亏虚,气阴两虚,湿热下注,湿热瘀阻,湿热蕴结,湿热阻络,热毒蕴结,痰浊瘀阻,痰浊蒙窍,痰湿中阻,痰湿蒙窍,痰湿蕴肺,痰瘀互结,痰瘀痹阻,瘀血阻络,肝经湿热,肝肾不足,肝肾亏虚,肝肾阴虚,肝胃不和,肝胃郁热,肝阳上亢,肾虚,脾肾两虚,脾胃不和,脾胃虚寒,血热,血瘀痰凝,阳虚水泛,阴虚火旺,阴虚血瘀,阴虚阳亢,风寒外袭,风寒袭肺,风痰上扰,风痰入络,风痰阻络
心血瘀阻,40,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
正虚毒瘀,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
正虚瘀结,0,43,128,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
气滞血瘀,1,0,3,318,3,3,0,7,7,2,0,14,1,1,1,0,0,1,1,55,3,0,84,1,1,4,7,1,0,0,1,0,9,1,1,0,0,0,0,0,0,0
气虚血瘀,54,0,2,25,269,19,37,0,0,0,0,0,46,22,0,3,0,24,44,87,0,0,4,14,0,1,78,0,1,0,0,0,0,34,8,51,6,2,0,7,2,20
气血亏虚,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
气阴两虚,1,2,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,12,26,0,0,0,0,0,0
湿热下注,0,0,0,1,0,5,0,516,3,4,2,15,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
湿热瘀阻,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湿热蕴结,0,0,1,0,0,1,0,0,0,41,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0
湿热阻络,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热毒蕴结,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
痰浊瘀阻,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰浊蒙窍,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰湿中阻,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
