gold\pred,心血瘀阻,正虚毒瘀,正虚瘀结,气滞血瘀,气虚血瘀,气血亏虚,气阴两虚,湿热下注,湿热瘀阻,湿热蕴结,湿热阻络,热毒蕴结,痰浊瘀阻,痰浊蒙窍,痰湿中阻,痰湿蒙窍,痰湿蕴肺,痰瘀互结,痰瘀痹阻,瘀血阻络,肝经湿热,肝肾不足,肝肾亏虚,肝肾阴虚,肝胃不和,肝胃郁热,肝阳上亢,肾虚,脾肾两虚,脾胃不和,脾胃虚寒,血热,血瘀痰凝,阳虚水泛,阴虚火旺,阴虚血瘀,阴虚阳亢,风寒外袭,风寒袭肺,风痰上扰,风痰入络,风痰阻络
心血瘀阻,46,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
正虚毒瘀,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
正虚瘀结,0,49,122,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
气滞血瘀,2,2,0,367,2,3,0,20,4,3,1,0,2,0,0,0,0,4,4,17,3,2,77,3,0,4,0,2,0,0,1,0,7,0,0,0,0,0,0,0,0,1
气虚血瘀,7,1,1,6,541,13,10,0,0,0,1,0,26,13,6,1,1,17,38,11,0,1,3,12,1,0,18,0,0,0,0,0,0,42,5,31,6,2,0,7,17,22
气血亏虚,0,0,0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
气阴两虚,0,1,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,6,4,0,0,0,0,0,0
湿热下注,0,0,0,1,0,5,0,532,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0
湿热瘀阻,0,0,0,2,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
湿热蕴结,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
湿热阻络,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热毒蕴结,0,0,0,0,0,0,0,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
痰浊瘀阻,1,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰浊蒙窍,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
痰湿中阻,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
痰湿蒙窍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
痰湿蕴肺,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0
痰瘀互结,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,20,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
痰瘀痹阻,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
瘀血阻络,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3,1,11,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
肝经湿热,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肝肾不足,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,33,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
肝肾亏虚,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,14,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
肝肾阴虚,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
肝胃不和,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0
